file,error,sparsity,sparsity_%,total_ch,dense_ch,restorable,acc_%
dense_vgg16.pth,'VGG' object is not subscriptable,,,,,,
step01_sp0.301.pth,,0.3014,30.14,2951.0,4224.0,1273.0,91.43
step02_sp0.513.pth,,0.5125,51.25,2059.0,4224.0,2165.0,90.74
step03_sp0.659.pth,,0.6593,65.93,1439.0,4224.0,2785.0,89.63
step04_sp0.763.pth,,0.7633,76.33,1000.0,4224.0,3224.0,87.47
step05_sp0.835.pth,,0.8352,83.52,696.0,4224.0,3528.0,84.3
step06_sp0.886.pth,,0.8861,88.61,481.0,4224.0,3743.0,80.81
step07_sp0.921.pth,,0.9214,92.14,332.0,4224.0,3892.0,76.45
step08_sp0.946.pth,,0.9465,94.65,226.0,4224.0,3998.0,67.9
step09_sp0.964.pth,,0.9643,96.43,151.0,4224.0,4073.0,57.21
step10_sp0.976.pth,,0.9759,97.59,102.0,4224.0,4122.0,49.77
step11_sp0.983.pth,,0.9834,98.34,70.0,4224.0,4154.0,43.79
step12_sp0.989.pth,,0.9891,98.91,46.0,4224.0,4178.0,38.22
step13_sp0.993.pth,,0.9927,99.27,31.0,4224.0,4193.0,34.79
step14_sp0.996.pth,,0.9955,99.55,19.0,4224.0,4205.0,29.95
step15_sp0.997.pth,,0.9969,99.69,13.0,4224.0,4211.0,22.98
